Time,Quadrant Number,Ball Colour,Event Type
1720532109.1643543,1,Yellow,Entry
1720532109.1693568,1,Green,Entry
1720532109.2138536,1,Yellow,Entry
1720532109.217633,1,Green,Entry
1720532109.257508,1,Yellow,Entry
1720532109.2627246,1,Green,Entry
1720532109.305444,4,Yellow,Entry
1720532109.3095455,4,Green,Entry
1720532109.3501592,4,Yellow,Entry
1720532109.354439,4,Green,Entry
1720532109.3622646,4,Orange,Entry
1720532109.3973143,4,Yellow,Entry
1720532109.4019003,4,Green,Entry
1720532109.4092493,4,Orange,Entry
1720532109.4437652,4,Yellow,Entry
1720532109.4482794,4,Green,Entry
1720532109.4566097,4,Orange,Entry
1720532109.5048838,4,Yellow,Entry
1720532109.510085,4,Green,Entry
1720532109.5175738,4,Orange,Entry
1720532109.550171,4,Yellow,Entry
1720532109.5550568,4,Green,Entry
1720532109.5550568,4,Green,Entry
1720532109.5550568,4,Green,Entry
1720532109.5632353,4,Orange,Entry
1720532109.5985792,4,Yellow,Entry
1720532109.6052983,4,Green,Entry
1720532109.6131227,4,Orange,Entry
1720532109.6436388,4,Yellow,Entry
1720532109.6489632,4,Green,Entry
1720532109.6561062,4,Orange,Entry
1720532109.6884887,4,Yellow,Entry
1720532109.6929605,4,Green,Entry
1720532109.736969,4,Yellow,Entry
1720532109.830894,4,Yellow,Entry
1720532109.835965,4,Green,Entry
1720532109.8783503,4,Yellow,Entry
1720532109.8818624,4,Green,Entry
1720532109.924115,4,Yellow,Entry
1720532109.924115,4,Yellow,Entry
1720532109.927541,4,Green,Entry
1720532109.9694839,4,Yellow,Entry
1720532109.9694839,4,Yellow,Entry
1720532109.9737616,4,Green,Entry
1720532110.0169103,4,Yellow,Entry
1720532110.017921,4,Yellow,Entry
1720532110.0222833,4,Green,Entry
1720532110.0606523,4,Yellow,Entry
1720532110.0606523,4,Yellow,Entry
1720532110.0644767,4,Green,Entry
1720532110.1076446,4,Yellow,Entry
1720532110.10864,4,Yellow,Entry
1720532110.1126497,4,Green,Entry
1720532110.1559107,4,Yellow,Entry
1720532110.1599846,4,Green,Entry
1720532110.2039394,4,Yellow,Entry
1720532110.2039394,4,Yellow,Entry
1720532110.2094734,4,Green,Entry
1720532110.250849,4,Yellow,Entry
1720532110.250849,4,Yellow,Entry
1720532110.250849,4,Yellow,Entry
1720532110.2564876,4,Green,Entry
1720532110.2969968,4,Yellow,Entry
1720532110.2969968,4,Yellow,Entry
1720532110.2983756,4,Yellow,Entry
1720532110.303379,4,Green,Entry
1720532110.357274,4,Yellow,Entry
1720532110.357274,4,Yellow,Entry
1720532110.3620145,4,Green,Entry
1720532110.4028873,4,Yellow,Entry
1720532110.4496477,4,Yellow,Entry
1720532110.4546626,4,Green,Entry
1720532110.4956653,4,Yellow,Entry
1720532110.4956653,4,Yellow,Entry
1720532110.5012326,4,Green,Entry
1720532110.5012326,4,Green,Entry
1720532110.5443852,4,Yellow,Entry
1720532110.549391,4,Green,Entry
1720532110.549391,4,Green,Entry
1720532110.59058,4,Yellow,Entry
1720532110.5971084,4,Green,Entry
1720532110.6371846,4,Yellow,Entry
1720532110.6417906,4,Green,Entry
1720532110.6833844,4,Yellow,Entry
1720532110.6833844,4,Yellow,Entry
1720532110.6879258,4,Green,Entry
1720532110.7287238,4,Yellow,Entry
1720532110.7297251,4,Yellow,Entry
1720532110.7736142,4,Yellow,Entry
1720532110.7776155,4,Green,Entry
1720532110.8201642,4,Yellow,Entry
1720532110.8201642,4,Yellow,Entry
1720532110.8251646,4,Green,Entry
1720532110.8251646,4,Green,Entry
1720532110.866453,4,Yellow,Entry
1720532110.866453,4,Yellow,Entry
1720532110.8707747,4,Green,Entry
1720532110.8707747,4,Green,Entry
1720532110.9140055,4,Yellow,Entry
1720532110.9180074,4,Green,Entry
1720532110.9190075,4,Green,Entry
1720532110.958511,4,Yellow,Entry
1720532110.958511,4,Yellow,Entry
1720532110.9625502,4,Green,Entry
1720532110.9636433,4,Green,Entry
1720532111.0069356,4,Yellow,Entry
1720532111.0069356,4,Yellow,Entry
1720532111.0111516,4,Green,Entry
1720532111.0111516,4,Green,Entry
1720532111.0544264,4,Yellow,Entry
1720532111.0544264,4,Yellow,Entry
1720532111.0581417,4,Green,Entry
1720532111.0581417,4,Green,Entry
1720532111.0990934,4,Yellow,Entry
1720532111.1040943,4,Green,Entry
1720532111.147262,4,Yellow,Entry
1720532111.147262,4,Yellow,Entry
1720532111.1527894,4,Green,Entry
1720532111.1527894,4,Green,Entry
1720532111.2106538,4,Yellow,Entry
1720532111.2106538,4,Yellow,Entry
1720532111.2164025,4,Green,Entry
1720532111.2164025,4,Green,Entry
1720532111.2584715,4,Yellow,Entry
1720532111.2584715,4,Yellow,Entry
1720532111.2632046,4,Green,Entry
1720532111.3068068,4,Yellow,Entry
1720532111.3068068,4,Yellow,Entry
1720532111.3160117,4,Green,Entry
1720532111.370147,4,Yellow,Entry
1720532111.375784,4,Green,Entry
1720532111.376825,4,Green,Entry
1720532111.4306862,4,Yellow,Entry
1720532111.4306862,4,Yellow,Entry
1720532111.4359307,4,Green,Entry
1720532111.495275,4,Yellow,Entry
1720532111.500753,4,Green,Entry
1720532111.555362,4,Yellow,Entry
1720532111.600608,4,Yellow,Entry
1720532111.6055138,4,Green,Entry
1720532111.6055138,4,Green,Entry
